time,bnds,lat,plev,time_bnds,aps,tm1,O3
2019-07-01 08:00:00,0,85.09653,1133.41,2018-02-14 00:24:00,102134.2,220.04419,4.7750327e-06
2019-07-01 08:00:00,0,85.09653,1238.03,2018-02-14 00:24:00,102134.2,219.20453,4.6755113e-06
2019-07-01 08:00:00,0,85.09653,1351.39,2018-02-14 00:24:00,102134.2,218.41367,4.5830293e-06
2019-07-01 08:00:00,0,85.09653,1474.24,2018-02-14 00:24:00,102134.2,217.71378,4.495114e-06
2019-07-01 08:00:00,0,85.09653,1607.37,2018-02-14 00:24:00,102134.2,217.09747,4.4127396e-06
2019-07-01 08:00:00,0,85.09653,1751.62,2018-02-14 00:24:00,102134.2,216.53375,4.3355294e-06
2019-07-01 08:00:00,0,85.09653,1907.95,2018-02-14 00:24:00,102134.2,216.07155,4.2618003e-06
2019-07-01 08:00:00,0,85.09653,2077.31,2018-02-14 00:24:00,102134.2,215.67667,4.196064e-06
2019-07-01 08:00:00,0,85.09653,2260.76,2018-02-14 00:24:00,102134.2,215.39929,4.1414887e-06
2019-07-01 08:00:00,0,85.09653,2459.51,2018-02-14 00:24:00,102134.2,215.16197,4.0970745e-06
2019-07-01 08:00:00,0,85.09653,2674.83,2018-02-14 00:24:00,102134.2,215.02081,4.059826e-06
2019-07-01 08:00:00,0,85.09653,2908.16,2018-02-14 00:24:00,102134.2,214.97882,4.0261302e-06
2019-07-01 08:00:00,0,85.09653,3161.09,2018-02-14 00:24:00,102134.2,215.04037,3.9906186e-06
2019-07-01 08:00:00,0,85.09653,3436.18,2018-02-14 00:24:00,102134.2,215.16832,3.938737e-06
2019-07-01 08:00:00,0,85.09653,3736.44,2018-02-14 00:24:00,102134.2,215.32928,3.8588896e-06
2019-07-01 08:00:00,0,85.09653,4063.97,2018-02-14 00:24:00,102134.2,215.53912,3.7455395e-06
2019-07-01 08:00:00,0,85.09653,4421.67,2018-02-14 00:24:00,102134.2,215.76636,3.5995445e-06
2019-07-01 08:00:00,0,85.09653,4813.4,2018-02-14 00:24:00,102134.2,216.00742,3.4167647e-06
2019-07-01 08:00:00,0,85.09653,5242.99,2018-02-14 00:24:00,102134.2,216.27121,3.2037638e-06
2019-07-01 08:00:00,0,85.09653,5714.27,2018-02-14 00:24:00,102134.2,216.53128,2.9671369e-06
2019-07-01 08:00:00,0,85.09653,6232.16,2018-02-14 00:24:00,102134.2,216.7963,2.709213e-06
2019-07-01 08:00:00,0,85.09653,6801.72,2018-02-14 00:24:00,102134.2,217.05675,2.435163e-06
2019-07-01 08:00:00,0,85.09653,7426.77,2018-02-14 00:24:00,102134.2,217.16449,2.157834e-06
2019-07-01 08:00:00,0,85.09653,8111.52,2018-02-14 00:24:00,102134.2,217.3985,1.8802045e-06
2019-07-01 08:00:00,0,85.09653,8863.41,2018-02-14 00:24:00,102134.2,217.76942,1.6090277e-06
2019-07-01 08:00:00,0,85.09653,9692.32,2018-02-14 00:24:00,102134.2,217.4751,1.361436e-06
